Car Id,Warranty Problem,Warranty Date
1,Vibration issue,24/07/2015
2,Vibration issue,21/03/2014
3,Vibration issue,26/04/2013
4,Vibration issue,06/11/2013
5,Vibration issue,18/04/2013
6,Vibration issue,07/04/2014
7,Vibration issue,13/08/2015
8,Vibration issue,07/01/2014
9,Vibration issue,22/06/2015
10,Vibration issue,15/08/2013
11,Vibration issue,16/08/2015
12,Vibration issue,17/02/2015
13,Vibration issue,23/02/2013
14,Vibration issue,15/11/2014
15,Vibration issue,27/05/2013
16,Vibration issue,04/02/2015
17,Vibration issue,19/02/2013
18,Vibration issue,08/12/2014
19,Vibration issue,26/02/2014
20,Vibration issue,02/12/2013
21,Vibration issue,02/07/2013
22,Vibration issue,05/07/2013
23,Vibration issue,02/12/2013
24,Vibration issue,11/06/2014
25,Vibration issue,13/02/2013
26,Vibration issue,19/04/2013
27,Vibration issue,21/11/2014
28,Vibration issue,14/06/2013
29,Vibration issue,28/02/2015
30,Loss of control,10/04/2015
31,Vibration issue,26/08/2013
32,Vibration issue,13/11/2014
33,Vibration issue,05/11/2014
34,Vibration issue,08/01/2015
35,Vibration issue,12/04/2013
36,Vibration issue,08/10/2013
37,Vibration issue,18/04/2015
38,Vibration issue,06/02/2013
39,Vibration issue,07/10/2014
40,Loss of control,28/03/2015
41,Vibration issue,22/07/2013
42,Vibration issue,12/01/2014
43,Vibration issue,04/02/2013
44,Vibration issue,02/08/2015
45,Vibration issue,07/02/2013
46,Vibration issue,20/05/2013
47,Vibration issue,08/09/2015
48,Vibration issue,22/01/2014
49,Vibration issue,01/03/2014
50,Vibration issue,25/01/2013
51,Vibration issue,03/08/2015
52,Vibration issue,27/10/2014
53,Vibration issue,02/07/2013
54,Vibration issue,27/03/2013
55,Vibration issue,12/05/2014
56,Vibration issue,27/07/2013
57,Vibration issue,12/07/2015
58,Vibration issue,25/12/2013
59,Vibration issue,22/04/2014
60,Vibration issue,18/01/2014
61,Vibration issue,02/04/2013
62,Vibration issue,03/04/2015
63,Vibration issue,27/03/2014
64,Vibration issue,18/05/2014
65,Loss of control,05/01/2014
66,Vibration issue,15/11/2014
67,Vibration issue,19/02/2014
68,Vibration issue,01/02/2013
69,Vibration issue,30/09/2014
70,Vibration issue,28/07/2014
71,Vibration issue,25/05/2015
72,Vibration issue,24/03/2013
73,Vibration issue,23/09/2015
74,Vibration issue,25/11/2014
75,Vibration issue,05/11/2013
76,Vibration issue,16/01/2015
77,Vibration issue,03/12/2013
78,Vibration issue,06/01/2013
79,Vibration issue,18/04/2014
80,Vibration issue,04/07/2013
81,Vibration issue,25/07/2015
82,Vibration issue,20/07/2015
83,Vibration issue,28/11/2014
84,Vibration issue,21/02/2014
85,Vibration issue,07/11/2013
86,Vibration issue,25/10/2013
87,Vibration issue,20/04/2015
88,Vibration issue,27/03/2014
89,Vibration issue,09/02/2014
90,Vibration issue,31/12/2013
91,Vibration issue,02/09/2015
92,Vibration issue,24/05/2014
93,Vibration issue,07/06/2015
94,Vibration issue,04/06/2014
95,Loss of control,13/01/2015
96,Vibration issue,11/11/2013
97,Vibration issue,27/07/2013
98,Vibration issue,30/08/2013
99,Vibration issue,24/06/2014
100,Vibration issue,24/07/2015
101,Vibration issue,06/03/2014
102,Vibration issue,13/01/2013
103,Vibration issue,13/11/2014
104,Vibration issue,29/04/2013
105,Vibration issue,17/03/2015
106,Vibration issue,28/03/2014
107,Vibration issue,12/02/2015
108,Vibration issue,16/04/2015
109,Vibration issue,30/04/2013
110,Vibration issue,22/03/2014
111,Vibration issue,10/02/2014
112,Vibration issue,08/07/2013
113,Vibration issue,24/02/2013
114,Vibration issue,16/01/2013
115,Vibration issue,04/08/2014
116,Vibration issue,24/10/2013
117,Vibration issue,17/02/2015
118,Vibration issue,14/05/2015
119,Vibration issue,01/10/2013
